City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,kholmsk,47.0511,142.0569,37.53,65,67,12.93,RU,1712702390
353,galion,40.7337,-82.7899,66.61,75,100,10.0,US,1712702390
354,freetown,8.484,-13.2299,79.02,83,21,9.4,SL,1712702391
355,oriximina,-1.7656,-55.8661,77.65,89,100,1.01,BR,1712702243
356,saki,8.6667,3.3833,81.28,60,98,4.34,NG,1712702391
357,mufulira,-12.5498,28.2407,64.45,96,97,1.05,ZM,1712702391
358,vallenar,-28.5708,-70.7581,70.12,54,4,2.55,CL,1712702391
359,hobyo,5.3505,48.5268,82.63,71,79,11.9,SO,1712702223
360,turpan,42.9333,89.1667,67.71,22,49,5.1,CN,1712702358
361,prince rupert,54.3161,-130.3201,48.29,70,20,14.97,CA,1712702283
